frequency_hz,magnitude
0,0.00575986
46.875,0.00530866
93.75,0.00561885
140.625,0.0057896
187.5,0.00386551
234.375,0.0064457
281.25,0.0112283
328.125,0.0289021
375,0.0294046
421.875,0.0308921
468.75,0.00784326
515.625,0.019088
562.5,0.051925
609.375,0.067203
656.25,0.0497651
703.125,0.0302312
750,0.061784
796.875,0.0652557
843.75,0.0142341
890.625,0.0197068
937.5,0.017666
984.375,0.0224834
1031.25,0.0316309
1078.12,0.0178288
1125,0.0227815
1171.88,0.0247737
1218.75,0.0100319
1265.62,0.00821961
1312.5,0.0112585
1359.38,0.00548955
1406.25,0.00463699
1453.12,0.00865054
1500,0.0165202
1546.88,0.00966206
1593.75,0.0223588
1640.62,0.0175007
1687.5,0.0169133
1734.38,0.0230445
1781.25,0.0196953
1828.12,0.0343691
1875,0.0362286
1921.88,0.0428052
1968.75,0.0225791
2015.62,0.0121147
2062.5,0.0454263
2109.38,0.036782
2156.25,0.0171091
2203.12,0.0126723
2250,0.0192216
2296.88,0.0545839
2343.75,0.0483267
2390.62,0.0349212
2437.5,0.0256565
2484.38,0.0298432
2531.25,0.0162284
2578.12,0.0232316
2625,0.034133
2671.88,0.0172127
2718.75,0.0165526
2765.62,0.0162832
2812.5,0.00338195
2859.38,0.0167421
2906.25,0.00402351
2953.12,0.00904192
3000,0.0211575
3046.88,0.00984218
3093.75,0.0231357
3140.62,0.0257263
3187.5,0.0262324
3234.38,0.0144638
3281.25,0.0421588
3328.12,0.0171586
3375,0.0449431
3421.88,0.0453316
3468.75,0.0540139
3515.62,0.071322
3562.5,0.0472468
3609.38,0.0593123
3656.25,0.0757668
3703.12,0.0213347
3750,0.0189805
3796.88,0.0117124
3843.75,0.0272552
3890.62,0.0337632
3937.5,0.0303542
3984.38,0.035845
4031.25,0.0489104
4078.12,0.0170457
4125,0.0184349
4171.88,0.0309574
4218.75,0.0320022
4265.62,0.0217577
4312.5,0.0332564
4359.38,0.0393475
4406.25,0.0233994
4453.12,0.0270249
4500,0.00425624
4546.88,0.0272386
4593.75,0.0562137
4640.62,0.0588516
4687.5,0.0954954
4734.38,0.0818462
4781.25,0.103843
4828.12,0.0301907
4875,0.0775065
4921.88,0.0406885
4968.75,0.0891348
5015.62,0.0626019
5062.5,0.0757248
5109.38,0.109295
5156.25,0.130585
5203.12,0.0281918
5250,0.109373
5296.88,0.0881427
5343.75,0.025118
5390.62,0.105901
5437.5,0.0977149
5484.38,0.101723
5531.25,0.0737852
5578.12,0.137272
5625,0.0528283
5671.88,0.0384959
5718.75,0.00879853
5765.62,0.0748482
5812.5,0.0718511
5859.38,0.0543792
5906.25,0.147388
5953.12,0.0967288
6000,0.0619417
6046.88,0.0955632
6093.75,0.102683
6140.62,0.184417
6187.5,0.17742
6234.38,0.106105
6281.25,0.0547742
6328.12,0.111765
6375,0.234691
6421.88,0.246389
6468.75,0.292569
6515.62,0.195788
6562.5,0.364981
6609.38,0.263206
6656.25,0.247972
6703.12,0.128141
6750,0.385241
6796.88,0.363541
6843.75,0.15462
6890.62,0.34666
6937.5,0.318297
6984.38,0.930202
7031.25,0.325535
7078.12,0.683669
7125,1.58721
7171.88,1.32037
7218.75,0.645241
7265.62,1.56215
7312.5,2.66959
7359.38,3.51512
7406.25,2.25671
7453.12,0.955425
7500,5.80326
7546.88,8.33043
7593.75,5.42727
7640.62,2.65665
7687.5,2.07214
7734.38,2.29111
7781.25,1.84737
7828.12,0.97241
7875,1.63912
7921.88,1.40166
7968.75,0.655458
8015.62,0.392734
8062.5,0.292163
8109.38,0.230688
8156.25,0.467978
8203.12,0.296824
8250,0.308382
8296.88,0.208355
8343.75,0.0692353
8390.62,0.0919972
8437.5,0.0555439
8484.38,0.100582
8531.25,0.0682735
8578.12,0.109095
8625,0.114296
8671.88,0.113743
8718.75,0.144892
8765.62,0.0612415
8812.5,0.100403
8859.38,0.12655
8906.25,0.0429846
8953.12,0.109172
9000,0.0859614
9046.88,0.0960532
9093.75,0.0912124
9140.62,0.211213
9187.5,0.169228
9234.38,0.0161337
9281.25,0.0788657
9328.12,0.0986868
9375,0.127231
9421.88,0.19544
9468.75,0.107376
9515.62,0.120778
9562.5,0.134371
9609.38,0.0363246
9656.25,0.0545623
9703.12,0.0839553
9750,0.00733176
9796.88,0.0334857
9843.75,0.0270857
9890.62,0.072923
9937.5,0.0331222
9984.38,0.0600197
10031.2,0.0610705
10078.1,0.0516311
10125,0.0475023
10171.9,0.0667375
10218.8,0.0594082
10265.6,0.097658
10312.5,0.096125
10359.4,0.0544613
10406.2,0.0393727
10453.1,0.058773
10500,0.0696248
10546.9,0.0708781
10593.8,0.0814738
10640.6,0.0732523
10687.5,0.00397181
10734.4,0.03193
10781.2,0.0396101
10828.1,0.0820811
10875,0.0523034
10921.9,0.0207366
10968.8,0.0693452
11015.6,0.0675594
11062.5,0.0694684
11109.4,0.0718312
11156.2,0.0269178
11203.1,0.0258744
11250,0.0662894
11296.9,0.0669709
11343.8,0.059147
11390.6,0.02165
11437.5,0.0399842
11484.4,0.0718417
11531.2,0.0428494
11578.1,0.0208731
11625,0.0481906
11671.9,0.0398663
11718.8,0.0380039
11765.6,0.0491105
11812.5,0.0570933
11859.4,0.0224188
11906.2,0.0316226
11953.1,0.014721
12000,0.0420983
12046.9,0.0324389
12093.8,0.0484928
12140.6,0.0163737
12187.5,0.0168666
12234.4,0.0299376
12281.2,0.0427219
12328.1,0.0635036
12375,0.0517697
12421.9,0.0582834
12468.8,0.0894858
12515.6,0.0629142
12562.5,0.0289877
12609.4,0.0349892
12656.2,0.052659
12703.1,0.0456039
12750,0.0310688
12796.9,0.0462809
12843.8,0.0323763
12890.6,0.0334523
12937.5,0.029691
12984.4,0.0432754
13031.2,0.0168665
13078.1,0.030292
13125,0.0219978
13171.9,0.0412799
13218.8,0.0257942
13265.6,0.0145996
13312.5,0.0304327
13359.4,0.01935
13406.2,0.038793
13453.1,0.0487696
13500,0.0262063
13546.9,0.00125744
13593.8,0.0249413
13640.6,0.0579699
13687.5,0.0522252
13734.4,0.0418697
13781.2,0.0879047
13828.1,0.0426834
13875,0.0450359
13921.9,0.0640989
13968.8,0.0572228
14015.6,0.0399269
14062.5,0.0258435
14109.4,0.0560829
14156.2,0.0632651
14203.1,0.0518993
14250,0.0854604
14296.9,0.0732352
14343.8,0.0232601
14390.6,0.0392901
14437.5,0.0245009
14484.4,0.0321796
14531.2,0.0522763
14578.1,0.0196698
14625,0.0272595
14671.9,0.0448924
14718.8,0.0227679
14765.6,0.0403595
14812.5,0.0476123
14859.4,0.0250203
14906.2,0.0189095
14953.1,0.0519175
15000,0.0355027
15046.9,0.0585501
15093.8,0.0255881
15140.6,0.0567241
15187.5,0.0363323
15234.4,0.0436579
15281.2,0.0268176
15328.1,0.0396627
15375,0.0742072
15421.9,0.0938304
15468.8,0.0389194
15515.6,0.038022
15562.5,0.00877131
15609.4,0.0387703
15656.2,0.010326
15703.1,0.0707636
15750,0.0886815
15796.9,0.067881
15843.8,0.0221172
15890.6,0.0449247
15937.5,0.0333819
15984.4,0.022656
16031.2,0.0412731
16078.1,0.0303615
16125,0.0159457
16171.9,0.00961482
16218.8,0.00353813
16265.6,0.00401497
16312.5,0.00416331
16359.4,0.0040433
16406.2,0.00412676
16453.1,0.00376023
16500,0.0042382
16546.9,0.0036701
16593.8,0.00402829
16640.6,0.00386744
16687.5,0.00390782
16734.4,0.00398412
16781.2,0.00384746
16828.1,0.00385738
16875,0.00379008
16921.9,0.00383976
16968.8,0.00388865
17015.6,0.00364004
17062.5,0.0037367
17109.4,0.0038777
17156.2,0.00357867
17203.1,0.00387815
17250,0.00368173
17296.9,0.00372515
17343.8,0.00379999
17390.6,0.00350721
17437.5,0.00381103
17484.4,0.0036658
17531.2,0.0035934
17578.1,0.00364223
17625,0.00360586
17671.9,0.00362621
17718.8,0.0035996
17765.6,0.00372592
17812.5,0.00349287
17859.4,0.00359936
17906.2,0.00364794
17953.1,0.0035178
18000,0.00357643
18046.9,0.00348241
18093.8,0.00366483
18140.6,0.00343611
18187.5,0.00369067
18234.4,0.00342033
18281.2,0.00352405
18328.1,0.00351648
18375,0.00337169
18421.9,0.00340857
18468.8,0.00369868
18515.6,0.00333668
18562.5,0.00351604
18609.4,0.00339396
18656.2,0.00357519
18703.1,0.00336482
18750,0.00337805
18796.9,0.00356311
18843.8,0.00325855
18890.6,0.00338299
18937.5,0.00334548
18984.4,0.00350947
19031.2,0.00349837
19078.1,0.00323511
19125,0.00337461
19171.9,0.00337694
19218.8,0.00333078
19265.6,0.0034121
19312.5,0.00322218
19359.4,0.00344952
19406.2,0.00337875
19453.1,0.00317587
19500,0.00341577
19546.9,0.00328314
19593.8,0.00334963
